index,computer_language,major,role,school
0,"python, scala, java",Immunobiology,None,Yale
1,SAS,Actuarial Science,Developer,Boston
2,SAS python,Information Technology,Developer,UT Dallas
3,SAS,MBA,developer,UT Dallas
4,"python, c",computer science,Developer,Umass
5,c++,"EE, math",product owner,tech tech/UTD
6,"python, R, java",computer science,Developer,UT Dallas
7,"SAS, R, Python",Industrial Engineering,Developer,Texas A&M
